"year","เดือน","วันที่","เซล","เขตการขาย","Segment","LastSegment","LastGroupCode","LastGroupOfDebt","ลูกค้า","รหัสหลัก","ชื่อหลัก","typecode","categorycode","formatcode","groupcode","Code","Name1","weight","จำนวน","UnitCode","Price","volume","TurnOver","DebtLimit1","DocDate","CreditDay","DocNo","taxNo","FOC","Period","Q","TYPE","หนี้ในเดือน","SumOfAmount","Email"
2026,1,5,"SUP : SUP","06 : อ.อู่ทอง","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","SPARE",,"113-92  พัฒนาอะไหล่ยนต์","113-92","พัฒนาอะไหล่ยนต์","PCO","PCO - CTL","GTX","GTX-PU","3436260","GTX DIESEL 15W40  12X1L R",$1.00,$1.00,"ล",$1370.00,$12.00,$1280.37,$0.00,05-Jan-2026 0:00:00,30,"CR69322-16064","INV-69-00002","","P1","Q1","PCO","",$1370.00,"autopoom11@gmail.com"
2026,1,5,"SUP : SUP","06 : อ.อู่ทอง","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","SPARE",,"113-92  พัฒนาอะไหล่ยนต์","113-92","พัฒนาอะไหล่ยนต์","PCO","PCO - CTL","GTX","GTX-PU","3439373","GTX  DIESEL 10W30 12X1L R",$1.00,$1.00,"ล",$1350.00,$12.00,$1261.68,$0.00,05-Jan-2026 0:00:00,30,"CR69322-16064","INV-69-00002","","P1","Q1","PCO","",$1350.00,"autopoom11@gmail.com"
2026,1,5,"SUP : SUP","06 : อ.อู่ทอง","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","SPARE",,"113-92  พัฒนาอะไหล่ยนต์","113-92","พัฒนาอะไหล่ยนต์","PCO","PCO - CTL","MAG","MAG-PU","3435551","MAGNATEC  PU  10W30  12x1L R",$1.00,$1.00,"ล",$2881.00,$12.00,$2692.52,$0.00,05-Jan-2026 0:00:00,30,"CR69322-16064","INV-69-00002","","P1","Q1","PCO","",$2881.00,"autopoom11@gmail.com"
2026,1,5,"SUP : SUP","06 : อ.อู่ทอง","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","SPARE",,"113-92  พัฒนาอะไหล่ยนต์","113-92","พัฒนาอะไหล่ยนต์","PCO","PCO - CTL","MAG","MAG-PU","3435938","MAGNATEC  PU 15W40  12x1L  R",$1.00,$1.00,"ล",$2780.00,$12.00,$2598.13,$0.00,05-Jan-2026 0:00:00,30,"CR69322-16064","INV-69-00002","","P1","Q1","PCO","",$2780.00,"autopoom11@gmail.com"
2026,1,5,"SUP : SUP","06 : อ.อู่ทอง","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","SPARE",,"113-92  พัฒนาอะไหล่ยนต์","113-92","พัฒนาอะไหล่ยนต์","PCO","PCO - CTL","MAG","MAG-PU","3439595","MAGNATEC  PU 10W30  3X6P1L FS  R",$7.00,$3.00,"ล",$3335.00,$63.00,$9350.47,$0.00,05-Jan-2026 0:00:00,30,"CR69322-16064","INV-69-00002","","P1","Q1","PCO","",$10005.00,"autopoom11@gmail.com"
2026,1,5,"SUP : SUP","06 : อ.อู่ทอง","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","SPARE",,"113-92  พัฒนาอะไหล่ยนต์","113-92","พัฒนาอะไหล่ยนต์","PCO","PCO - CTL","MAG","MAG-PU","3439624","MAGNATEC  PU 15W40  3X6P1L  FS  R",$7.00,$2.00,"ล",$3335.00,$42.00,$6233.64,$0.00,05-Jan-2026 0:00:00,30,"CR69322-16064","INV-69-00002","","P1","Q1","PCO","",$6670.00,"autopoom11@gmail.com"
2026,1,5,"สุพรรณบุรี 2 : นุช","06 : อ.อู่ทอง","4A-E : CAS Express (250L)","4A-E : CAS Express (250L)","AUTOSERVIC","Express","113-1923  เลี๊ยบคาร์เซอร์วิส","113-1923","เลี๊ยบคาร์เซอร์วิส","CTSP","SPECIAL","COOLANTS","COOLANT","3436174","RADICOOL  SF  PREMIX    12X1L  R",$1.00,$2.00,"ล",$1344.00,$24.00,$2512.15,$0.00,05-Jan-2026 0:00:00,30,"CR69374-18665","INV-69-00001","","P1","Q1","PCO","",$2688.00,"casspb62@gmail.com"
2026,1,5,"สุพรรณบุรี 2 : นุช","06 : อ.อู่ทอง","4A-E : CAS Express (250L)","4A-E : CAS Express (250L)","AUTOSERVIC","Express","113-1923  เลี๊ยบคาร์เซอร์วิส","113-1923","เลี๊ยบคาร์เซอร์วิส","PCO","PCO - CTL","GTX","GTX-PU","3439370","GTX  DIESEL 20W50  3X6L  R",$6.00,$3.00,"ล",$1884.00,$54.00,$5282.24,$0.00,05-Jan-2026 0:00:00,30,"CR69374-18665","INV-69-00001","","P1","Q1","PCO","",$5652.00,"casspb62@gmail.com"
2026,1,6,"SUP : SUP","06 : อ.อู่ทอง","4H : ร้านค้าส่ง 4W (WholeSale)","4H : ร้านค้าส่ง 4W (WholeSale)","WHOLESALE","WholeSale","113-124  ยนต์ประกิจอะไหล่","113-124","ยนต์ประกิจอะไหล่","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439391","ACTIV 4T 20W40  12X0.8L  SN  R",$0.80,$1.00,"ล",$0.00,$9.60,$0.00,$0.00,06-Jan-2026 0:00:00,1,"CA69373-18633","INV-69-00043","Y","P1","Q1","MCO","หนี้ในเดือน",$0.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","06 : อ.อู่ทอง","4H : ร้านค้าส่ง 4W (WholeSale)","4H : ร้านค้าส่ง 4W (WholeSale)","WHOLESALE","WholeSale","113-124  ยนต์ประกิจอะไหล่","113-124","ยนต์ประกิจอะไหล่","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439391","ACTIV 4T 20W40  12X0.8L  SN  R",$0.80,$25.00,"ล",$950.00,$240.00,$22196.26,$0.00,06-Jan-2026 0:00:00,1,"CA69373-18633","INV-69-00043","","P1","Q1","MCO","หนี้ในเดือน",$23750.00,"autopoom11@gmail.com"
